省份:北京 年份:2016 信息:理科（投档分）的最高分：663，最低分：646，平均分：652，重点线：548，均重差：104，录取人数：44；文科（投档分）的最高分：656，最低分：638，平均分：646，重点线：583，均重差：63，录取人数：19
省份:北京 年份:2015 信息:理科（投档分）的最高分：684，最低分：660，平均分：668，重点线：548，均重差：120，录取人数：32；文科（投档分）的最高分：649，最低分：642，平均分：644，重点线：579，均重差：65，录取人数：14
省份:北京 年份:2014 信息:理科（投档分）的最高分：670，最低分：635，平均分：647，重点线：543，均重差：104，录取人数：33；文科（投档分）的最高分：643，最低分：617，平均分：628，重点线：565，均重差：63，录取人数：15
省份:北京 学院:传播与设计学院 专业:新闻传播学类 信息:文理科：文科，2016年最高分：650，最低分：646，平均分：648；2015年最高分：645，最低分：643，平均分：644；2014年最高分：632，最低分：629，平均分：631
省份:北京 学院:法学院 专业:法学 信息:文理科：文科，2016年最高分：649，最低分：649，平均分：649；2015年最高分：644，最低分：644，平均分：644；2014年最高分：627，最低分：627，平均分：627
省份:北京 学院:国际翻译学院 专业:外国语言文学类 信息:文理科：文科，2016年最高分：642，最低分：638，平均分：640；2015年最高分：643，最低分：643，平均分：643；2014年最高分：630，最低分：630，平均分：630
省份:北京 学院:国际关系学院 专业:国际政治 信息:文理科：文科，2016年最高分：647，最低分：639，平均分：643；2015年最高分：644，最低分：643，平均分：644；2014年最高分：618，最低分：617，平均分：618
省份:北京 学院:岭南学院 专业:经济学类 信息:文理科：文科，2016年最高分：652，最低分：647，平均分：650；2015年最高分：649，最低分：645，平均分：647；2014年最高分：643，最低分：638，平均分：641
省份:北京 学院:政治与公共事务管理学院 专业:公共管理类 信息:文理科：文科，2016年最高分：645，最低分：645，平均分：645；2015年最高分：646，最低分：644，平均分：645；2014年最高分：628，最低分：626，平均分：627
省份:北京 学院:中国语言文学系（广州） 专业:汉语言文学 信息:文理科：文科，2016年最高分：656，最低分：644，平均分：649；2015年最高分：644，最低分：644，平均分：644；2014年最高分：627，最低分：627，平均分：627
省份:北京 学院:资讯管理学院 专业:图书情报与档案管理类 信息:文理科：文科，2016年最高分：未知，最低分：未知，平均分：未知；2015年最高分：642，最低分：642，平均分：642；2014年最高分：629，最低分：623，平均分：626
省份:北京 学院:工学院 专业:能源与动力工程 信息:文理科：理科，2016年最高分：649，最低分：646，平均分：650；2015年最高分：未知，最低分：未知，平均分：未知；2014年最高分：未知，最低分：未知，平均分：未知
省份:北京 学院:公共卫生学院 专业:预防医学 信息:文理科：理科，2016年最高分：647，最低分：647，平均分：647；2015年最高分：668，最低分：663，平均分：665；2014年最高分：646，最低分：642，平均分：644
省份:北京 学院:管理学院 专业:工商管理类 信息:文理科：理科，2016年最高分：655，最低分：654，平均分：655；2015年最高分：670，最低分：665，平均分：668；2014年最高分：649，最低分：647，平均分：648
省份:北京 学院:光华口腔医学院 专业:口腔医学 信息:文理科：理科，2016年最高分：658，最低分：658，平均分：658；2015年最高分：669，最低分：665，平均分：667；2014年最高分：未知，最低分：未知，平均分：未知
省份:北京 学院:化学学院 专业:化学类 信息:文理科：理科，2016年最高分：658，最低分：647，平均分：653；2015年最高分：664，最低分：663，平均分：664；2014年最高分：639，最低分：639，平均分：639
省份:北京 学院:岭南学院 专业:经济学类 信息:文理科：理科，2016年最高分：656，最低分：656，平均分：656；2015年最高分：675，最低分：669，平均分：672；2014年最高分：662，最低分：661，平均分：662
省份:北京 学院:生命科学学院 专业:生物科学类 信息:文理科：理科，2016年最高分：648，最低分：646，平均分：647；2015年最高分：684，最低分：670，平均分：677；2014年最高分：647，最低分：646，平均分：647
省份:北京 学院:数据科学与计算机学院 专业:计算机类 信息:文理科：理科，2016年最高分：657，最低分：651，平均分：653；2015年最高分：669，最低分：665，平均分：667；2014年最高分：640，最低分：640，平均分：640
省份:北京 学院:数据科学与计算机学院（软件学院） 专业:软件工程 信息:文理科：理科，2016年最高分：650，最低分：646，平均分：648；2015年最高分：663，最低分：662，平均分：663；2014年最高分：639，最低分：636，平均分：638
省份:北京 学院:数学学院（广州） 专业:数学类 信息:文理科：理科，2016年最高分：662，最低分：651，平均分：657；2015年最高分：661，最低分：661，平均分：661；2014年最高分：642，最低分：637，平均分：640
省份:北京 学院:物理学院（广州） 专业:物理学 信息:文理科：理科，2016年最高分：652，最低分：651，平均分：652；2015年最高分：676，最低分：670，平均分：673；2014年最高分：652，最低分：643，平均分：648
省份:北京 学院:药学院 专业:药学 信息:文理科：理科，2016年最高分：652，最低分：649，平均分：651；2015年最高分：662，最低分：662，平均分：662；2014年最高分：642，最低分：640，平均分：641
省份:北京 学院:中法核工程与技术学院 专业:核工程类（中外合作办学）（核工程与核技术专业） 信息:文理科：理科，2016年最高分：647，最低分：647，平均分：647；2015年最高分：666，最低分：666，平均分：666；2014年最高分：636，最低分：635，平均分：636
省份:北京 学院:中山医学院 专业:临床医学（八年制） 信息:文理科：理科，2016年最高分：663，最低分：661，平均分：662；2015年最高分：676，最低分：674，平均分：675；2014年最高分：670，最低分：660，平均分：665
省份:北京 学院:中山医学院 专业:临床医学 信息:文理科：理科，2016年最高分：659，最低分：656，平均分：658；2015年最高分：678，最低分：673，平均分：676；2014年最高分：655，最低分：654，平均分：655
省份:天津 年份:2016 信息:理科（投档分）的最高分：667，最低分：621，平均分：636，重点线：512，均重差：124，录取人数：42；文科（投档分）的最高分：628，最低分：603，平均分：611，重点线：532，均重差：79，录取人数：14
省份:天津 年份:2015 信息:理科（投档分）的最高分：668，最低分：636，平均分：647，重点线：538，均重差：109，录取人数：41；文科（投档分）的最高分：630，最低分：613，平均分：618，重点线：547，均重差：71，录取人数：15
省份:天津 年份:2014 信息:理科（投档分）的最高分：663，最低分：613，平均分：630，重点线：516，均重差：114，录取人数：38；文科（投档分）的最高分：624，最低分：591，平均分：599，重点线：523，均重差：76，录取人数：15
省份:天津 学院:传播与设计学院 专业:新闻传播学类 信息:文理科：文科，2016年最高分：620，最低分：610，平均分：615；2015年最高分：620，最低分：616，平均分：618；2014年最高分：610，最低分：602，平均分：606
省份:天津 学院:法学院 专业:法学 信息:文理科：文科，2016年最高分：611，最低分：609，平均分：610；2015年最高分：616，最低分：615，平均分：616；2014年最高分：601，最低分：596，平均分：599
省份:天津 学院:国际翻译学院 专业:外国语言文学类 信息:文理科：文科，2016年最高分：605，最低分：603，平均分：604；2015年最高分：615，最低分：613，平均分：614；2014年最高分：595，最低分：591，平均分：593
省份:天津 学院:岭南学院 专业:经济学类 信息:文理科：文科，2016年最高分：628，最低分：626，平均分：627；2015年最高分：630，最低分：620，平均分：625；2014年最高分：624，最低分：599，平均分：612
省份:天津 学院:社会学与人类学学院 专业:人类学 信息:文理科：文科，2016年最高分：604，最低分：603，平均分：604；2015年最高分：619，最低分：613，平均分：615；2014年最高分：598，最低分：591，平均分：595
省份:天津 学院:外国语学院 专业:法语 信息:文理科：文科，2016年最高分：603，最低分：603，平均分：603；2015年最高分：614，最低分：614，平均分：614；2014年最高分：594，最低分：594，平均分：594
省份:天津 学院:外国语学院 专业:英语 信息:文理科：文科，2016年最高分：611，最低分：611，平均分：611；2015年最高分：619，最低分：619，平均分：619；2014年最高分：592，最低分：592，平均分：592
