中山大学校训  博学、审问、慎思、明辨、笃行
中山大学校歌  白云山高,珠江水长;吾校矗立,蔚为国光;中山手创,遗泽余芳;博学审问,慎思不罔;明辨笃行,为国栋梁;莘莘学子,济济一堂;学以致用,不息自强;发扬光大,贯彻主张;振兴中华,永志勿忘。
中山大学学校使命    以立德树人为根本任务，坚持社会主义办学方向，致力于培养“德才兼备、领袖气质、家国情怀”的优秀人才；传承优秀文化，追求卓越创新，促进国家社会文明事业发展。
中山大学战略目标    把中山大学建设成为文理医工各具特色融合发展，具有广泛国际影响的世界一流大学。
中山大学办学理念    坚持中国特色社会主义大学办学方向，培养“德才兼备、领袖气质、家国情怀”的社会主义合格建设者和可靠接班人。守护大学精神、文化和价值，守护现代大学制度；倡导 “大学是一个学术共同体”，守护绝大多数人的利益。提高学校教育质量和师资队伍的学术水平；确立教授在学校事务中的学术主导地位。
中山大学指导思想    紧紧抓住学科建设这个高校发展永恒的主题，坚持面向学术前沿、面向国家重大战略需求、面向国家和区域经济社会发展，实现文理医工的全方位融合发展。
中山大学办学特色    综合性、创新性、开放性。
中山大学发展模式    综合性：多学科融合发展；研究型：突出学术研究的地位；开放式：对国际与海外、社会开放办学。
中山大学培养目标    以“德才兼备、领袖气质、家国情怀”为人才培养目标。
中山大学培养模式    学校形成了“通识教育、大类教学、复合创新”的本科教育观念和“厚基础、宽口径、重个性、求创新”的本科人才培养特色。
中山大学数据科学与计算机学院  中山大学数据科学与计算机学院成立于2015年6月，由学校整合原信息科学与技术学院计算机科学系、软件学院、超级计算学院以及数学与计算科学学院计算数学方向（部分人员）等计算机相关专业的优势资源组建。2015年12月，学校将原移动信息工程学院学生划归数据科学与计算机学院管理，原信息科学与技术学院智能科学与自动化系、电子与通信工程系和原移动信息工程学院部分教师调入数据科学与计算机学院。 2016年4月，学校将中山大学国家保密学院学生划归数据科学与计算机学院管理。 2015年9月，国家超级计算广州中心（以下简称“广州超算中心”）管理权移交中山大学，纳入数据科学与计算机学院管理。学院建立起一个以“天河二号”超级计算机为依托，涵盖高层次人才培养、软件技术研发和支撑、面向产业和科研的高水平应用服务“三位一体”的新的管理运行机制。
中山大学普通本科教务系统主页网站    uems.sysu.edu.cn/jwxt/
中山大学研究生教育管理系统主页网站    http://ecampus.sysu.edu.cn/zsuyy/
中山大学勤工助学管理系统主页网站    http://ecampus.sysu.edu.cn/zsuxg/
中山大学学生微教务系统主页网站 http://wjw.sysu.edu.cn/
中山大学第三方教务系统主页网站 http://wjw.sysu.edu.cn/
中山大学资源管理系统主页网站  http://res.sysu.edu.cn/
中山大学学习资源平台主页网站  http://res.sysu.edu.cn/
中山大学研究生院导师服务平台主页网站  http://ecampus.sysu.edu.cn/tutorapp/
中山大学科技处科研管理系统主页网站   http://ecampus.sysu.edu.cn/ky/
中山大学校务管理系统主页网站  http://ecampus.sysu.edu.cn/zsuyy/login_normal.jsp
中山大学网费在线系统主页网站  http://netpay.sysu.edu.cn/netpay/
中山大学人力资源系统主页网站  http://ecampus.sysu.edu.cn/rsxt/
中山大学本科教务系统学生选课平台主页网站    uems.sysu.edu.cn/elect/
中山大学信息技术中心IT服务帮助台主页网站   helpdesk.sysu.edu.cn/
中山大学学生活动中心申请系统主页网站  http://sac.sysu.edu.cn/applysys/Login.html
中山大学办公自动化系统主页网站 https://oa.sysu.edu.cn/
