中山大学创办者创建者 孙中山
中山大学第一任校长   邹鲁
中山大学校长  罗俊
中山大学副校长 黎孟枫
中山大学副校长 李善民
中山大学副校长 朱熹平
中山大学副校长 肖海鹏
中山大学副校长 杨清华
中山大学副校长 王雪华
中山大学副校长 马骏
中山大学校长助理    程焕文
中山大学校长助理    陈望南
中山大学校长助理    骆腾
中山大学党委书记    陈春声
中山大学党委副书记   国亚萍
中山大学纪委书记    国亚萍
中山大学党委副书记   余敏斌
中山大学党委副书记   马骏
中山大学中国科学院院士 苏锵
中山大学中国科学院院士 陈新滋
中山大学中国科学院院士 计亮年
中山大学中国科学院院士 陈小明
中山大学中国科学院院士 罗俊
中山大学中国科学院院士 张培震
中山大学中国科学院院士 高锐
中山大学中国科学院院士 石钟慈
中山大学中国科学院院士 徐至展
中山大学中国科学院院士 黄荣辉
中山大学中国科学院院士 孔祥复
中山大学中国科学院院士 郑度
中山大学中国科学院院士 陈霖
中山大学中国科学院院士 曾益新
中山大学中国科学院院士 许宁生
中山大学中国工程院院士 林浩然
中山大学中国工程院院士 林东昕
中山大学中国工程院院士 王复明
中山大学中国工程院院士 孙玉
中山大学中国工程院院士 谢立信
中山大学已故院士 姜立夫
中山大学已故院士 傅斯年
中山大学已故院士 郭沫若
中山大学已故院士 罗常培
中山大学已故院士 冯友兰
中山大学已故院士 顾颉刚
中山大学已故院士 陈望道
中山大学已故院士 陈寅恪
中山大学已故院士 朱洗
中山大学已故院士 朱物华
中山大学已故院士 孙云铸
中山大学已故院士 丁颖
中山大学已故院士 陈焕镛
中山大学已故院士 罗宗洛
中山大学已故院士 梁伯强
中山大学已故院士 李达
中山大学已故院士 王力
中山大学已故院士 蒲蛰龙
中山大学已故院士 高由禧
中山大学已故院士 林尚安
中山大学已故院士 李绍珍
中山大学国家“973”计划项目首席科学家    许宁生（调出）
中山大学国家“973”计划项目首席科学家    苏成勇
中山大学国家“973”计划项目首席科学家    余思远
中山大学国家“973”计划项目首席科学家    余新炳
中山大学国家“973”计划项目首席科学家    屈良鹄
中山大学国家“973”计划项目首席科学家    徐安龙（调出）
中山大学国家“973”计划项目首席科学家    葛坚
中山大学国家“973”计划项目首席科学家    曾益新（调出）
中山大学国家重大科学研究计划首席科学家 王雪华
中山大学国家重大科学研究计划首席科学家 邓少芝
中山大学国家重大科学研究计划首席科学家 刘奕志
中山大学国家重大科学研究计划首席科学家 刘强
中山大学国家重大科学研究计划首席科学家 杨国伟
中山大学国家重大科学研究计划首席科学家 杨崧
中山大学国家重大科学研究计划首席科学家 李志兵
中山大学国家重大科学研究计划首席科学家 宋尔卫
中山大学国家重大科学研究计划首席科学家 松阳洲
中山大学国家重大科学研究计划首席科学家 徐安龙（调出）
中山大学“十一五”国家“863计划”领域专家  许宁生（调出）
中山大学“十一五”国家“863计划”领域专家  徐安龙（调出）
中山大学教育部“长江学者奖励计划”特聘教授   许宁生（调出）
中山大学教育部“长江学者奖励计划”特聘教授   陈小明
中山大学教育部“长江学者奖励计划”特聘教授   屈良鹄
中山大学教育部“长江学者奖励计划”特聘教授   任佳刚（调入）
中山大学教育部“长江学者奖励计划”特聘教授   王彪（调入）
中山大学教育部“长江学者奖励计划”特聘教授   张仁铎（调入）
中山大学教育部“长江学者奖励计划”特聘教授   戴永久（调入）
中山大学教育部“长江学者奖励计划”特聘教授   罗俊（调入）
中山大学教育部“长江学者奖励计划”特聘教授   谢旗（调出）
中山大学教育部“长江学者奖励计划”特聘教授   朱熹平
中山大学教育部“长江学者奖励计划”特聘教授   庄诗美
中山大学教育部“长江学者奖励计划”特聘教授   刘林（调出）
中山大学教育部“长江学者奖励计划”特聘教授   刘祖国（调出）
中山大学教育部“长江学者奖励计划”特聘教授   黎孟枫
中山大学教育部“长江学者奖励计划”特聘教授   桑兵
中山大学教育部“长江学者奖励计划”特聘教授   杨培增（调出）
中山大学教育部“长江学者奖励计划”特聘教授   章明秋
中山大学教育部“长江学者奖励计划”特聘教授   黎夏
中山大学教育部“长江学者奖励计划”特聘教授   倪梁康
中山大学教育部“长江学者奖励计划”特聘教授   宋尔卫
中山大学教育部“长江学者奖励计划”特聘教授   王雪华
中山大学教育部“长江学者奖励计划”特聘教授   吴承学
中山大学教育部“长江学者奖励计划”特聘教授   苏成勇
中山大学教育部“长江学者奖励计划”特聘教授   杨国伟
中山大学教育部“长江学者奖励计划”特聘教授   李宝军（调出）
中山大学教育部“长江学者奖励计划”特聘教授   郑利民
中山大学教育部“长江学者奖励计划”特聘教授   朱菁
中山大学教育部“长江学者奖励计划”特聘教授   贺雄雷
中山大学教育部“长江学者奖励计划”特聘教授   黄国文（调出）
中山大学教育部“长江学者奖励计划”特聘教授   马骏
中山大学教育部“长江学者奖励计划”特聘教授   翁建平
中山大学教育部“长江学者奖励计划”特聘教授   余学清
中山大学教育部“长江学者奖励计划”特聘教授   董文杰（调入）
中山大学教育部“长江学者奖励计划”特聘教授   黄仕忠
中山大学教育部“长江学者奖励计划”特聘教授   李仲飞
中山大学教育部“长江学者奖励计划”特聘教授   张军
中山大学教育部“长江学者奖励计划”特聘教授   陈兵龙
中山大学教育部“长江学者奖励计划”特聘教授   陈少明
中山大学教育部“长江学者奖励计划”特聘教授   胡文浩（调入）
中山大学教育部“长江学者奖励计划”特聘教授   康铁邦
中山大学教育部“长江学者奖励计划”特聘教授   区景松
中山大学教育部“长江学者奖励计划”特聘教授   童明良
中山大学教育部“长江学者奖励计划”特聘教授   王岳军（调入）
中山大学教育部“长江学者奖励计划”特聘教授   肖侬（调入）
中山大学教育部“长江学者奖励计划”特聘教授   曾木圣
中山大学教育部“长江学者奖励计划”特聘教授   周大鸣
中山大学教育部“长江学者奖励计划”特聘教授   李新春
中山大学教育部“长江学者奖励计划”特聘教授   彭玉平
中山大学教育部“长江学者奖励计划”特聘教授   张杰鹏
中山大学教育部“长江学者奖励计划”讲座教授   吴仲义
中山大学教育部“长江学者奖励计划”讲座教授   许跃生
中山大学教育部“长江学者奖励计划”讲座教授   汤子康
中山大学教育部“长江学者奖励计划”讲座教授   刘宏
中山大学教育部“长江学者奖励计划”讲座教授   杨子恒
中山大学教育部“长江学者奖励计划”讲座教授   黄蓬
中山大学教育部“长江学者奖励计划”讲座教授   蓝田
中山大学教育部“长江学者奖励计划”讲座教授   张和平
中山大学教育部“长江学者奖励计划”讲座教授   周敏
中山大学教育部“长江学者奖励计划”讲座教授   陈俊杰
中山大学教育部“长江学者奖励计划”讲座教授   柯滨
中山大学教育部“长江学者奖励计划”讲座教授   李明辉
中山大学教育部“长江学者奖励计划”讲座教授   张智民
中山大学教育部“长江学者奖励计划”讲座教授   左志义
中山大学教育部“长江学者奖励计划”讲座教授   M.H.Thiemens
中山大学教育部“长江学者奖励计划”讲座教授   朱鸿林
中山大学教育部“长江学者奖励计划”讲座教授   李巍
中山大学教育部“长江学者奖励计划”讲座教授   梁锦荣
中山大学教育部“长江学者奖励计划”青年学者   贝锦新
中山大学教育部“长江学者奖励计划”青年学者   陈斯鹏
中山大学教育部“长江学者奖励计划”青年学者   刘小平
中山大学教育部“长江学者奖励计划”青年学者   施俊琦
中山大学教育部“长江学者奖励计划”青年学者   夏敏
中山大学教育部“长江学者奖励计划”青年学者   谢有顺
中山大学国家杰出青年科学基金获得者   罗俊（调入）
中山大学国家杰出青年科学基金获得者   屈良鹄
中山大学国家杰出青年科学基金获得者   许宁生（调出）
中山大学国家杰出青年科学基金获得者   陈小明
中山大学国家杰出青年科学基金获得者   任佳刚（调入）
中山大学国家杰出青年科学基金获得者   许家瑞
中山大学国家杰出青年科学基金获得者   颜光美
中山大学国家杰出青年科学基金获得者   郑志勇（调出）
中山大学国家杰出青年科学基金获得者   王彪（调入）
中山大学国家杰出青年科学基金获得者   徐安龙（调出）
中山大学国家杰出青年科学基金获得者   许庚
中山大学国家杰出青年科学基金获得者   章明秋
中山大学国家杰出青年科学基金获得者   林东昕（调入）
中山大学国家杰出青年科学基金获得者   罗达（调入）
中山大学国家杰出青年科学基金获得者   罗向前
中山大学国家杰出青年科学基金获得者   施苏华
中山大学国家杰出青年科学基金获得者   曾益新（调出）
中山大学国家杰出青年科学基金获得者   张培震（调入）
中山大学国家杰出青年科学基金获得者   朱熹平
中山大学国家杰出青年科学基金获得者   杨培增（调出）
中山大学国家杰出青年科学基金获得者   李淼（调入）
中山大学国家杰出青年科学基金获得者   凌文华
中山大学国家杰出青年科学基金获得者   印林生（调出）
中山大学国家杰出青年科学基金获得者   唐仕波（调出）
中山大学国家杰出青年科学基金获得者   闫小培（调出）
中山大学国家杰出青年科学基金获得者   殷克东（调入）
中山大学国家杰出青年科学基金获得者   戴永久（调入）
中山大学国家杰出青年科学基金获得者   陈豪（调出）
中山大学国家杰出青年科学基金获得者   刘祖国（调出）
中山大学国家杰出青年科学基金获得者   古洁若
中山大学国家杰出青年科学基金获得者   何建国
中山大学国家杰出青年科学基金获得者   黄继武（调出）
中山大学国家杰出青年科学基金获得者   谢旗（调出）
中山大学国家杰出青年科学基金获得者   刘林（调出）
中山大学国家杰出青年科学基金获得者   郑利民
中山大学国家杰出青年科学基金获得者   黎夏
中山大学国家杰出青年科学基金获得者   罗笑南
中山大学国家杰出青年科学基金获得者   宋尔卫
中山大学国家杰出青年科学基金获得者   苏成勇
中山大学国家杰出青年科学基金获得者   童明良
中山大学国家杰出青年科学基金获得者   吴钟凯
中山大学国家杰出青年科学基金获得者   徐信忠（调入）
中山大学国家杰出青年科学基金获得者   杨国伟
中山大学国家杰出青年科学基金获得者   陈永明（调入）
中山大学国家杰出青年科学基金获得者   黄丰（调入）
中山大学国家杰出青年科学基金获得者   李宝军（调出）
中山大学国家杰出青年科学基金获得者   鲁统部（调出）
中山大学国家杰出青年科学基金获得者   钟凡
中山大学国家杰出青年科学基金获得者   邓少芝
中山大学国家杰出青年科学基金获得者   毛宗万
中山大学国家杰出青年科学基金获得者   秦启伟（调出）
中山大学国家杰出青年科学基金获得者   王雪华
中山大学国家杰出青年科学基金获得者   张清炯
中山大学国家杰出青年科学基金获得者   冯珑珑（调入）
中山大学国家杰出青年科学基金获得者   胡建勋
中山大学国家杰出青年科学基金获得者   李仲飞
中山大学国家杰出青年科学基金获得者   刘强
中山大学国家杰出青年科学基金获得者   王岳军（调入）
中山大学国家杰出青年科学基金获得者   陈军
中山大学国家杰出青年科学基金获得者   陈雯
中山大学国家杰出青年科学基金获得者   郭德银（调入）
中山大学国家杰出青年科学基金获得者   郭先平
中山大学国家杰出青年科学基金获得者   颜立新
中山大学国家杰出青年科学基金获得者   余学清
中山大学国家杰出青年科学基金获得者   庄诗美
中山大学国家杰出青年科学基金获得者   陈兵龙
中山大学国家杰出青年科学基金获得者   潘景轩
中山大学国家杰出青年科学基金获得者   翁建平
中山大学国家杰出青年科学基金获得者   肖侬（调入）
中山大学国家杰出青年科学基金获得者   曾木圣
中山大学国家杰出青年科学基金获得者   何明光
中山大学国家杰出青年科学基金获得者   胡文浩（调入）
中山大学国家杰出青年科学基金获得者   康铁邦
中山大学国家杰出青年科学基金获得者   王成新
中山大学国家杰出青年科学基金获得者   张军
中山大学国家杰出青年科学基金获得者   贺雄雷
中山大学国家杰出青年科学基金获得者   欧阳钢锋
中山大学国家杰出青年科学基金获得者   仇荣亮
中山大学国家杰出青年科学基金获得者   帅心涛
中山大学国家杰出青年科学基金获得者   王帆
中山大学国家杰出青年科学基金获得者   谢丹
中山大学国家杰出青年科学基金获得者   张杰鹏
中山大学国家杰出青年科学基金获得者   贾卫华
中山大学国家杰出青年科学基金获得者   李隽
中山大学国家杰出青年科学基金获得者   区景松
中山大学国家杰出青年科学基金获得者   纪红兵
中山大学国家杰出青年科学基金获得者   麦海强
中山大学国家杰出青年科学基金获得者   施俊琦
中山大学国家杰出青年科学基金获得者   王宏斌
中山大学国家杰出青年科学基金获得者   王雪梅
中山大学国家杰出青年科学基金获得者   项鹏
中山大学国家杰出青年科学基金获得者   张强（调出）
中山大学国家杰出青年科学基金获得者   巢晖
中山大学国家杰出青年科学基金获得者   崔峻（调入）
中山大学国家杰出青年科学基金获得者   李朝晖（调入）
中山大学国家杰出青年科学基金获得者   刘鸿（调入）
中山大学国家杰出青年科学基金获得者   周家国
中山大学国家杰出青年科学基金获得者   栾天罡
中山大学国家杰出青年科学基金获得者   石明
中山大学数据科学与计算机学院院长    钱德沛
中山大学数据科学与计算机学院党委书记  谢曼华
中山大学数据科学与计算机学院副院长   马啸
中山大学数据科学与计算机学院副院长   杨宏奇
中山大学数据科学与计算机学院副院长   肖侬
中山大学数据科学与计算机学院党委副书记    陈征宇
中山大学数据科学与计算机学院院长助理  吴迪
中山大学数据科学与计算机学院院长助理  韦宝典
中山大学数据科学与计算机学院院长助理  吴维刚
中山大学数据科学与计算机学院院长助理  万海
中山大学数据科学与计算机学院党政办公室主任   李奈青
中山大学数据科学与计算机学院党政办公室副主任  陈晓南
中山大学数据科学与计算机学院科研  王冬梅
中山大学数据科学与计算机学院超算应用专项  侯艳冰
中山大学数据科学与计算机学院党务  郝艳
中山大学数据科学与计算机学院计算机类本科教育事务  罗燕萍
中山大学数据科学与计算机学院移动信息工程本科教育事务    胡凤娟
中山大学数据科学与计算机学院软件工程本科教育事务  吴岚岚
中山大学数据科学与计算机学院软件工程本科教育事务  林英
中山大学数据科学与计算机学院研究生管理（招生）、出纳    邹小翠
中山大学数据科学与计算机学院研究生教务（全日制研究生）   梁穗
中山大学数据科学与计算机学院继续教育办公室 李湄
中山大学数据科学与计算机学院行政、外事秘书 张艳丽
中山大学数据科学与计算机学院行政、公章、高性能计算协同创新中心事务 苏春娇
中山大学数据科学与计算机学院档案、后勤   焦德君
中山大学数据科学与计算机学院广东省信息安全技术重点实验室秘书，实验技术岗  魏东
中山大学数据科学与计算机学院设备、实验室技术岗   阮琪
中山大学数据科学与计算机学院财务秘书（会计）    张惠 
中山大学数据科学与计算机学院党委副书记，分管学院学生工作  陈征宇
中山大学数据科学与计算机学院2013、2014级计算机类本科生、2013级保密管理专业本科生辅导员，团委，学生学术发展中心，社团管理，协助就业  李越瀚
中山大学数据科学与计算机学院2014级软件工程、保密专业本科生辅导员，办公室（奖助贷勤统筹），港澳台留学生，校友工作。暂管2015级计科、软工本科生 丘南海
中山大学数据科学与计算机学院全院研究生辅导员，实习就业统筹，指导研究生会和职业发展与校友工作办公室    侯雪莹
中山大学数据科学与计算机学院2013级软件工程、移动信息工程专业本科生辅导员，学生党建，少数民族学生，协助就业  黄玲娟
中山大学数据科学与计算机学院2014、2015级移动信息工程专业本科生、2015级保密管理专业本科生辅导员，指导学生会，协助校友工作    刘晓
中山大学数据科学与计算机学院2016级本科生辅导员，协助办公室事务和奖助贷勤    李晓洁
中山大学数据科学与计算机学院学生工作    茹春平
中山大学数据科学与计算机学院软件学院院长  肖侬
中山大学数据科学与计算机学院软件学院软件工程与应用研究所所长    余阳
中山大学数据科学与计算机学院软件学院软件工程系主任，软件工程与应用研究所副所长  郑子彬
中山大学数据科学与计算机学院国家保密学院院长  马啸
中山大学数据科学与计算机学院国家保密学院院长助理  韦宝典
中山大学数据科学与计算机学院国家保密学院行政秘书（保密培训联系人） 侯艳冰
中山大学数据科学与计算机学院国家超算广州中心常务副主任   卢泽新
中山大学数据科学与计算机学院国家超算广州中心总工程师    杜云飞
中山大学数据科学与计算机学院国家超算广州中心办公室主任   莫倩
